id;SKU;Price
1513;HB090-Blanc;63.90
1516;HB090-Argent;52.20
3441;lsr16051grisclair;62.10
3989;jh846beige05;196.20
5282;lf3045sgpinkvelvet;471.60
6373;89271lightgreyfabric;101.70
6430;lf33822velvetblue;236.70
8110;lf33823velvetblack;296.10
8315;lsr20072blackpu;71.10
8464;lsr20103puttyvelvet;135.90
23786;39362goldglass;53.10
43656;3lundrawhite;222.30
46765;lsr210471beigefur;107.10
47889;qh8381greyteddyfabric;108.90
50286;tvset130wh;121.50
50287;ct100wh;58.50
51017;28AF003white;140.40
51936;bc1013bcreamteddyfabric;26.10
52255;ta231045matwhite;71.10
52486;yf230043;22.50
52497;yf230001;22.50
53507;lf3677beigeteddyfabric;463.50
53844;140n241darkgrey;494.10
53850;180n241darkgrey;566.10
54193;yf230349;52.20
54196;yf230344;48.60
54197;yf230132;64.80
56765;202024marble;280.80
56767;202024oak;335.70
57027;btzdzl003;74.70
57035;qh83132darkgreyvelvet;147.60
57039;qh8368beige;112.50
57045;13113sbeigefabric;215.10
57150;taco2415black;155.70
57151;taco2415beige;155.70
57170;dt2248white;67.50
57175;lf3821glightgreyfabric;504.00
57176;lf3821gbeigefabric;473.40
52485;yf230046;22.50
57187;AHF241776;99.00
57206;AHF241813white;161.10
57208;AHF241814sblack;121.50
57210;t30253walnut;112.50
57222;tb50585walnut;62.10
57223;tb50585travertin;53.10
57237;1565greyvelvet;420.30
57250;c50820travertin;71.10
57310;29809ltbrownteddywhite;152.10
57311;29809walnutteddybeige;157.50
58319;LT419140beigefabric;410.40
58320;LT419140darkgreyfabric;410.40
58324;LT419180darkgreyfabric;473.40
58574;lf3804beigecordu;395.10
58696;ps1-gp;40.50
58697;ps1-w;35.10
58703;hm5-cg;58.50
58719;vo1-w;89.10
58721;vo1-ba;94.50
58730;on28w;125.10
58731;on28sa;125.10
